testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
VerifyCarnivalBrokenLinks,Given I Open the browser to go to default application,NA,NA,openbrowser,,SanityDesktop,
,check for broken links,CarnivalWebHome,links,checkbrokenlinks,,,
,close all Browsers,NA,NA,closeAllBrowsers,,,
VerifyCarnivalHomePage,Given I Open the browser to go to default application,NA,NA,openbrowser,,SanityDesktopwithBrokenLinks,
,"verify if ""Logo"" is displayed or not",CarnivalWebHome,Logo,verifyObjectPresent,,,
,"verify if ""brandLogos"" is displayed or not",CarnivalWebHome,brandlogos,verifyObjectPresent,,,
,"verify if ""MenuItem"" is displayed or not",CarnivalWebHome,MenuBar,verifyObjectPresent,,,
,check for broken links,CarnivalWebHome,links,checkbrokenlinks,,,
,close all Browsers,NA,NA,closeAllBrowsers,,,
VerifyCarnivalBrokenImages,Given I Open the browser to go to default application,NA,NA,openbrowser,,SanityDesktopBrokenImages,
,checkBrokenImages,CarnivalWebHome,images,checkBrokenImages,,,
,close all Browsers,NA,NA,closeAllBrowsers,,,
